FCLTY_NM,FCLTY_FLAG_NM,INDUTY_CD,INDUTY_NM,FCLTY_TY_CD,FCLTY_TY_NM,POSESN_MBY_CD,POSESN_MBY_CTPRVN_CD,POSESN_MBY_CTPRVN_NM,POSESN_MBY_SIGNGU_CD,POSESN_MBY_SIGNGU_NM,RSPNSBLTY_DEPT_NM,RSPNSBLTY_TEL_NO,ROAD_NM_CTPRVN_CD,ROAD_NM_CTPRVN_NM,ROAD_NM_SIGNGU_CD,ROAD_NM_SIGNGU_NM,ROAD_NM_EMD_CD,ROAD_NM_EMD_NM,ROAD_NM_LI_CD,ROAD_NM_LI_NM,RDNMADR_NM,FCLTY_LO,FCLTY_LA,FCLTY_AR_CO,ACMD_NMPR_CO,ADTM_CO,FCLTY_HMPG_URL,NATION_ALSFC_AT,FCLTY_STATE_CD,DEL_AT
강남스포츠문화센터골프연습장,공공,P17,골프연습장,P1701,골프연습장,01,1100000000,서울특별시,1168000000,강남구,,,1100000000,서울특별시,1168000000,강남구,,,,,강남구 수서동718,127.105338789,37.4889740581,201.0,,,http//life.gangnam.go.kr,N,00,N
강남스포츠문화센터수영장,공공,P11,수영장,P1101,수영장,01,1100000000,서울특별시,1168000000,강남구,문화체육과,02-3423-5955,1100000000,서울특별시,1168000000,강남구,1168011500,수서동,,,서울특별시 강남구 밤고개로1길 52 (수서동),127.105339918165,37.4889731560638,661.0,250.0,,http//life.gangnam.go.kr,N,00,N
강남스포츠문화센터체육관,공공,P09,체육관,P0903,생활체육관,01,1100000000,서울특별시,1168000000,강남구,문화체육과,02-3423-5955,1100000000,서울특별시,1168000000,강남구,1168011500,수서동,,,서울특별시 강남구 밤고개로1길 52 (수서동),127.105280820161,37.4890010498708,1031.0,,,http//life.gnagnam.go.kr,N,00,N
강북웰빙스포츠센터,공공,P09,체육관,P0903,생활체육관,01,1100000000,서울특별시,1130500000,강북구,,,1100000000,서울특별시,1130500000,강북구,1130510200,번동,,,서울특별시 강북구 오현로31길 51 (번동),127.0377698874,37.6304570844,11570.0,,,http://www.gangbukcmc.seoul.kr/index.php,N,00,N
개운산스포츠센터,공공,P09,체육관,P0903,생활체육관,01,1100000000,서울특별시,1129000000,성북구,개운산스포츠팀,,1100000000,서울특별시,1129000000,성북구,1129013500,종암동,,,서울특별시 성북구 북악산로 949-60 (종암동),127.026238833598,37.5968670281284,3273.0,,,https://www.gongden.go.kr/port,N,00,N
개웅산생활체육관,공공,P09,체육관,P0903,생활체육관,01,1100000000,서울특별시,1153000000,구로구,구로구민체육쎈타팀,02-1899-6828,1100000000,서울특별시,1153000000,구로구,1153010700,개봉동,,,서울특별시 구로구 개봉로3길 108-20 (개봉동),126.8497243317,37.4853070008,786.0,,,https://www.gurosisul.or.kr/mod.asp?m=business=b02-1=2,N,00,N
거제국민체육센터,공공,P09,체육관,P0903,생활체육관,01,2600000000,부산광역시,2600000000,부산광역시,,,2600000000,부산광역시,2647000000,연제구,2647010100,거제동,,,부산광역시 연제구 법원남로9번길 17(거제동),129.074289798203,35.1895110545428,,,,,N,00,N
거제국민체육센터,공공,P09,체육관,P0901,구기체육관,01,4800000000,경상남도,4831000000,거제시,교육체육과,055-639-3914,4800000000,경상남도,4831000000,거제시,4831034026,서정리,,,경상남도 거제시 거제면 거제남서로 3485-17,128.58154397731673,34.85180310256211,2860.0,800.0,525.0,https://www.yj-sports.or.kr/main.php,N,00,N
경주국민체육센터,공공,P09,체육관,P0903,생활체육관,01,4700000000,경상북도,4713000000,경주시,,,4700000000,경상북도,4713000000,경주시,4713012400,황성동,,,경상북도 경주시 유림로5번길 85-15 (황성동),129.2170900184,35.8790452998,1483.0,,,http://sports.gyeongju.go.kr/,N,00,N
경주국민체육센터수영장,공공,P11,수영장,P1101,수영장,01,4700000000,경상북도,4713000000,경주시,,,4700000000,경상북도,4713000000,경주시,4713012400,황성동,,,경상북도 경주시 유림로5번길 85-15 (황성동),129.2170900184,35.8790452998,1454.0,,,http://sports.gyeongju.go.kr/,N,00,N
계남근린공원테니스장,공공,P08,간이운동장,P0801,간이운동장,01,1100000000,서울특별시,1153000000,구로구,공원녹지과,02-860-3087,1100000000,서울특별시,1147000000,양천구,1147010100,신정동,,,"서울특별시 양천구 신정로 260 (신정동, 신트리4단지아파트)",126.85029167710826,37.51149094276272,661.0,,,https://yeyak.seoul.go.kr,N,00,N
고양국민체육센터,공공,P09,체육관,P0903,생활체육관,01,4100000000,경기도,4128000000,고양시,체육진흥과,031-8075-2342,4100000000,경기도,4128100000,고양시 덕양구,4128110600,성사동,,,경기도 고양시 덕양구 호국로 876 (성사동),126.8437231978,37.6627589803,2714.0,,,http://ssgym.gys.or.kr/,N,00,N
고양어울림누리내 꽃우물수영장,공공,P11,수영장,P1101,수영장,01,4100000000,경기도,4128000000,고양시,체육진흥과,031-8075-2342,4100000000,경기도,4128100000,고양시 덕양구,4128110600,성사동,,,경기도 고양시 덕양구 어울림로 33 (성사동),126.8353665942,37.6490563009,13400.0,556.0,,www.spart.gys.or.kr,N,00,N
고양어울림누리내 몸과마음닦음터(체육관),공공,P09,체육관,P0903,생활체육관,01,4100000000,경기도,4128000000,고양시,체육진흥과,031-8075-2342,4100000000,경기도,4128100000,고양시 덕양구,4128110600,성사동,,,경기도 고양시 덕양구 어울림로 33 (성사동),126.8353665942,37.6490563009,13400.0,,,www.spart.gys.or.kr,N,00,N
고양체육관,공공,P11,수영장,P1101,수영장,01,4100000000,경기도,4128000000,고양시,체육진흥과,031-8075-2341,4100000000,경기도,4128700000,고양시 일산서구,4128710400,대화동,,,경기도 고양시 일산서구 중앙로 1601 (대화동),126.7430655661,37.676421695,39370.0,1553.0,,www.gym.gys.or.kr,N,00,N
고양체육관,공공,P09,체육관,P0903,생활체육관,01,4100000000,경기도,4128000000,고양시,체육진흥과,031-8075-2341,4100000000,경기도,4128700000,고양시 일산서구,4128710400,대화동,,,경기도 고양시 일산서구 중앙로 1601 (대화동),126.7430655661,37.676421695,39370.0,,,www.gym.gys.or.kr,N,00,N
고천다목적실내체육관,공공,P09,체육관,P0901,구기체육관,01,4100000000,경기도,4143000000,의왕시,생활체육팀,031-8086-7421,4100000000,경기도,4143000000,의왕시,4143010400,왕곡동,,,경기도 의왕시 오전로 18 (왕곡동),126.9823575539,37.3478985677,1440.0,500.0,210.0,http://www.uuc.or.kr/M_04/page03_04.html,N,00,N
과천시민회관다목적체육관,공공,P09,체육관,P0903,생활체육관,01,4100000000,경기도,4129000000,과천시,,,4100000000,경기도,4129000000,과천시,4129010700,중앙동,,,경기도 과천시 통영로 5 (중앙동),126.9891537744,37.4281913682,41056.0,,,http://www.gccs.or.kr,N,00,N
과천시민회관빙상장,공공,P20,빙상장,P2001,빙상장,01,4100000000,경기도,4129000000,과천시,,,4100000000,경기도,4129000000,과천시,4129010700,중앙동,,,경기도 과천시 통영로 5 (중앙동),126.9891537744,37.4281913682,41056.0,412.0,400.0,http://www.gccs.or.kr,N,00,N
과천시민회관실내수영장,공공,P11,수영장,P1101,수영장,01,4100000000,경기도,4129000000,과천시,,,4100000000,경기도,4129000000,과천시,4129010700,중앙동,,,경기도 과천시 통영로 5 (중앙동),126.9891537744,37.4281913682,41056.0,,,http://www.gccs.or.kr,N,00,N
관문실내체육관,공공,P09,체육관,P0901,구기체육관,01,4100000000,경기도,4129000000,과천시,,,4100000000,경기도,4129000000,과천시,4129010100,관문동,,,경기도 과천시 중앙로 294 (관문동),126.9963477974,37.4413646646,3021.0,750.0,528.0,http://www.gccs.or.kr,N,00,N
관악구민종합체육센터,공공,P09,체육관,P0903,생활체육관,01,1100000000,서울특별시,1162000000,관악구,체육사업팀,02-875-1188,1100000000,서울특별시,1162000000,관악구,1162010100,봉천동,,,서울특별시 관악구 낙성대로3길 37 (봉천동),126.9603152697,37.4730664948,1924.0,,,,N,00,N
관악구민종합체육센터수영장,공공,P11,수영장,P1101,수영장,01,1100000000,서울특별시,1162000000,관악구,시설관리공단,02-875-1188,1100000000,서울특별시,1162000000,관악구,1162010100,봉천동,,,서울특별시 관악구 낙성대로3길 37 (봉천동),126.9603152697,37.4730664948,1924.0,,,,N,00,N
관악구민체육센터골프연습장,공공,P17,골프연습장,P1701,골프연습장,01,1100000000,서울특별시,1162000000,관악구,체육사업팀,02-875-1188,1100000000,서울특별시,1162000000,관악구,1162010100,봉천동,,,서울특별시 관악구 낙성대로3길 37 (봉천동),126.9603152697,37.4730664948,1924.0,,,https://www.gwanakgongdan.or.kr/fmcs/13,N,00,N
관악청소년센터수영장,공공,P11,수영장,P1101,수영장,01,1100000000,서울특별시,1162000000,관악구,관악구 신림로23길17,,1100000000,서울특별시,1162000000,관악구,1162010200,신림동,,,서울특별시 관악구 신림로23길 17 (신림동),126.935243319909,37.4702439018707,845.0,,,,N,00,N
광장동 실내배드민턴장,공공,P09,체육관,P0901,구기체육관,01,1100000000,서울특별시,1121500000,광진구,,,1100000000,서울특별시,1121500000,광진구,1121510400,광장동,,,서울특별시 광진구 천호대로140길 40 (광장동),127.1001979782,37.5444262675,1207.0,,,http://minton.gwangjin.or.kr/,N,00,N
광주시문화스포츠센터,공공,P11,수영장,P1101,수영장,01,4100000000,경기도,4161000000,광주시,체육과,031-760-5986,4100000000,경기도,4161000000,광주시,4161010300,송정동,,,경기도 광주시 회안대로 891 (송정동),127.2547053473,37.4268686827,1851.0,,,http://gjcenter.gjcs.or.kr/,N,00,N
광주시문화스포츠센터,공공,P09,체육관,P0903,생활체육관,01,4100000000,경기도,4161000000,광주시,,031-760-5986,4100000000,경기도,4161000000,광주시,4161010300,송정동,,,경기도 광주시 회안대로 891 (송정동),127.2547053473,37.4268686827,26925.0,,,,N,00,Y
광주시문화스포츠센터,공공,P09,체육관,P0903,생활체육관,01,4100000000,경기도,4161000000,광주시,복지교육국 교육체육과,031-760-5986,4100000000,경기도,4161000000,광주시,4161010300,송정동,,,경기도 광주시 회안대로 891 (송정동),127.2547053473,37.4268686827,30743.0,,,http://www.gjcs.or.kr/gjcs/index.asp,N,00,N
광진구민체육센터,공공,P17,골프연습장,P1701,골프연습장,01,1100000000,서울특별시,1121500000,광진구,체육시설운영팀 (광진구민체육센터),02-2049-4800,1100000000,서울특별시,1121500000,광진구,1121510400,광장동,,,서울특별시 광진구 구천면로 14 (광장동),127.1068221494,37.5459990108,7914.0,,,http://gumin.gwangjin.or.kr/,N,00,N
광진구민체육센터수영장,공공,P11,수영장,P1101,수영장,01,1100000000,서울특별시,1121500000,광진구,체육시설운영팀 (광진구민체육센터),02-2049-4800,1100000000,서울특별시,1121500000,광진구,1121510400,광장동,,,서울특별시 광진구 구천면로 14 (광장동),127.1068221494,37.5459990108,987.0,90.0,,http://gumin.gwangjin.or.kr/,N,00,N
광진문화예술회관,공공,P17,골프연습장,P1701,골프연습장,01,1100000000,서울특별시,1121500000,광진구,문화사업팀,02-2049-4570,1100000000,서울특별시,1121500000,광진구,1121510500,자양동,,,서울특별시 광진구 능동로 76 (자양동),127.0705761545,37.5375712576,18860.0,,,http://gjart.gwangjin.or.kr/,N,00,N
광진문화예술회관수영장,공공,P11,수영장,P1101,수영장,01,1100000000,서울특별시,1121500000,광진구,문화사업팀,02-2049-4570,1100000000,서울특별시,1121500000,광진구,1121510500,자양동,,,서울특별시 광진구 능동로 76 (자양동),127.0705761545,37.5375712576,1107.0,84.0,,http://gjart.gwangjin.or.kr/,N,00,N
구로구민체육센터,공공,P09,체육관,P0903,생활체육관,01,1100000000,서울특별시,1153000000,구로구,구로구민체육쎈타팀,02-2681-9595,1100000000,서울특별시,1153000000,구로구,1153010600,고척동,,,서울특별시 구로구 고척로45길 39 (고척동),126.853275884576,37.5065812423584,661.0,,,https://www.gurosisul.or.kr/mod.asp?m=business&s=b01,N,00,N
구리국민체육센터,공공,P10,전천후게이트볼장,P1001,전천후게이트볼장,01,4100000000,경기도,4131000000,구리시,구리도시공사 체육시설팀,031-550-3700,4100000000,경기도,4131000000,구리시,4131010300,인창동,,,경기도 구리시 인창2로27번길 11 (인창동),127.129954816943,37.6047706319402,1500.0,,,http://www.gwdcguri.or.kr,N,00,N
구리국민체육센터,공공,P09,체육관,P0901,구기체육관,01,4100000000,경기도,4131000000,구리시,구리도시공사 체육시설팀,031-550-3700,4100000000,경기도,4131000000,구리시,,,,,인창동 622-28번지 일원,127.129791826,37.6050812022,1500.0,500.0,,http://www.guriuc.or.kr/frm_centers.asp?c_code=100602,N,00,N
구리시멀티스포츠센터,공공,P09,체육관,P0901,구기체육관,01,4100000000,경기도,4131000000,구리시,구리도시공사 체육시설팀,031-550-3700,4100000000,경기도,4131000000,구리시,4131010400,교문동,,,경기도 구리시 체육관로 137-25 (교문동),127.13515725717704,37.5961625856237,8138.0,65.0,60.0,http://multisc.or.kr,N,00,N
구리시멀티스포츠센터수영장,공공,P11,수영장,P1101,수영장,01,4100000000,경기도,4131000000,구리시,구리도시공사 체육시설팀,031-550-3700,4100000000,경기도,4131000000,구리시,4131010400,교문동,,,경기도 구리시 체육관로 137-25 (교문동),127.13515725717704,37.5961625856237,8138.0,,,http://multisc.or.kr/,N,00,N
구리실내배드민턴장,공공,P09,체육관,P0901,구기체육관,01,4100000000,경기도,4131000000,구리시,구리도시공사 체육시설팀,031-550-3700,4100000000,경기도,4131000000,구리시,,,,,교문동 3-2번지 일원,127.136460819,37.5956673427,998.0,500.0,,http://www.gwdcguri.or.kr,N,00,N
국민생활관,공공,P09,체육관,P0903,생활체육관,01,5100000000,강원특별자치도,5111000000,춘천시,체육시설2팀,033-252-1666,5100000000,,5111000000,,4211011200,효자동,,,강원특별자치도 춘천시 효자상길5번길 11 (효자동),127.728412636,37.8730927225,17028.0,,,Cuc.or.kr,N,00,N
국민체육센터,공공,P09,체육관,P0903,생활체육관,01,5200000000,전북특별자치도,5271000000,완주군,시설공원사업소,063-290-2634,5200000000,전북특별자치도,5271000000,완주군,4571025627,신지리,,,전라북도 완주군 용진읍 완주로 860,127.1747537631,35.9378761457,2980.0,,,https://www.wanju.go.kr/index.wanju?menuCd=DOM_000000104002011004,N,00,N
국민체육센터,공공,P09,체육관,P0903,생활체육관,01,5100000000,강원특별자치도,5173000000,횡성군,시설운영담당,033-340-5955,5100000000,,5173000000,,4273025022,읍하리,,,강원특별자치도 횡성군 횡성읍 문예로 75,127.975199115401,37.4886376755291,3414.0,,,https://www.hsg.go.kr/tour/00000322/00002143.web,N,00,N
국민체육센터,공공,P09,체육관,P0903,생활체육관,01,4600000000,전라남도,4617000000,나주시,체육시설관리팀,061-339-4522,4600000000,전라남도,4617000000,나주시,4617010200,송월동,,,전라남도 나주시 영산강변로 99 (송월동),126.7168185078,35.0100348255,11511.0,,,,N,00,N
국민체육센터,공공,P09,체육관,P0903,생활체육관,01,4600000000,전라남도,4677000000,고흥군,,,4600000000,전라남도,4677000000,고흥군,4677025029,행정리,,,전라남도 고흥군 고흥읍 두원로 175,127.273246007,34.6217602154,2307.0,,,https://www.goheung.go.kr/culture/contentsView.do?pageId=culture29,N,00,N
국민체육센터,공공,P09,체육관,P0903,생활체육관,01,5100000000,강원특별자치도,5111000000,춘천시,,,5100000000,,5111000000,,5111012400,,,,강원특별자치도 춘천시 우석로 102-3 (석사동),127.756677718048,37.8626198805028,4843.0,,,,N,00,N
국민체육센터,공공,P09,체육관,P0903,생활체육관,01,4100000000,경기도,4145000000,하남시,문화체육과,031-790-5250,4100000000,경기도,4145000000,하남시,4145010900,망월동,,,경기도 하남시 아리수로 600 (망월동),127.19511825902391,37.56699826444595,,,,https://hanamsport.or.kr,N,00,N
국민체육센터,공공,P09,체육관,P0903,생활체육관,01,2600000000,부산광역시,2626000000,동래구,,,2600000000,부산광역시,2626000000,동래구,2626010800,온천동,,,부산광역시 동래구 미남로 110 (온천동),129.06982987,35.2036104489,4866.0,,,sports.dongnae.go.kr,N,00,N
국민체육센터,공공,P09,체육관,P0903,생활체육관,01,4600000000,전라남도,4677000000,고흥군,시설관리팀,061-830-6720,4600000000,전라남도,4677000000,고흥군,4677025029,행정리,,,전라남도 고흥군 고흥읍 두원로 175,127.273246007,34.6217602154,,,,,N,99,N
국민체육센터 수영장,공공,P11,수영장,P1101,수영장,01,4100000000,경기도,4139000000,시흥시,,,4100000000,경기도,4139000000,시흥시,4139011900,하중동,,,경기도 시흥시 하중로 226 (하중동),126.805344171879,37.3915056581911,,,,,N,00,N
국민체육센터 수영장,공공,P11,수영장,P1101,수영장,01,4100000000,경기도,4167000000,여주시,,,4100000000,경기도,4167000000,여주시,4167012000,천송동,,,경기도 여주시 신륵로 14 (천송동),127.650765248739,37.3000218170572,1615.0,,,,N,00,N
국민체육센터 수영장,공공,P11,수영장,P1101,수영장,01,5100000000,강원특별자치도,5111000000,춘천시,체육시설2팀,033-257-7800,5100000000,,5111000000,,4211012400,석사동,,,강원특별자치도 춘천시 우석로 102-3 (석사동),127.7566649722,37.8626403235,1451.0,1000.0,552.0,https://www.cuc.or.kr/gukminCenter.do,N,00,N
국민체육센터 수영장,공공,P11,수영장,P1101,수영장,01,4400000000,충청남도,4423000000,논산시,,,4400000000,충청남도,4423000000,논산시,4423011100,관촉동,,,충청남도 논산시 논산대로 382 (관촉동),127.10252995234802,36.19557963981898,2161.0,,,http://www.nonsan.go.kr/public/html/sub01/010101.html,N,00,N
군포시청소년수련관수영장,공공,P11,수영장,P1101,수영장,01,4100000000,경기도,4141000000,군포시,청소년교육체육과,031-390-1400,4100000000,경기도,4141000000,군포시,4141010500,금정동,,,경기도 군포시 산본로 322 (금정동),126.934670219,37.3597826264,661.0,,,http://www.gpdream.or.kr/?pid=E,N,00,N
금곡공원국민체육센터,공공,P09,체육관,P0903,생활체육관,01,4100000000,경기도,4113000000,성남시,,,4100000000,경기도,4113500000,성남시 분당구,4113510300,정자동,,,경기도 성남시 분당구 금곡로 302 (정자동),127.109735552304,37.3571613849322,3331.0,,,https://spo.isdc.co.kr,N,00,N
금천구민문화체육센터,공공,P09,체육관,P0903,생활체육관,01,1100000000,서울특별시,1154500000,금천구,문화체육과,02-861-1313,1100000000,서울특별시,1154500000,금천구,1154510200,독산동,,,서울특별시 금천구 독산로54길 188 (독산동),126.907340474136,37.4700689909083,9115.0,,,http://www.gfmc.kr/business2_01.html,N,00,N
금천구민문화체육센터수영장,공공,P11,수영장,P1101,수영장,01,1100000000,서울특별시,1154500000,금천구,문화체육과,02-861-1313,1100000000,서울특별시,1154500000,금천구,,,,,금천구 독산4동371-2,126.907262726,37.4701391186,558.0,,,http://www.gfmc.kr/business2_01.html,N,00,N
기장군국민체육센터,공공,P09,체육관,P0903,생활체육관,01,2600000000,부산광역시,2671000000,기장군,체육시설팀,051-792-4770,2600000000,부산광역시,2671000000,기장군,2671031030,원리,,,부산광역시 기장군 일광면 체육공원1로 29,129.24304684210986,35.304995761625726,786.0,,,http://www.gijangcmc.or.kr/gmspo/main/main.asp,N,00,N
기장군국민체육센터수영장,공공,P11,수영장,P1101,수영장,01,2600000000,부산광역시,2671000000,기장군,체육시설팀,,2600000000,부산광역시,2671000000,기장군,2671025930,,,,부산광역시 기장군 일광읍 체육공원1로 29,129.242850043344,35.3049746328707,2578.0,,,www.gijangcmc.or.kr,N,00,N
기장생활체육센터,공공,P09,체육관,P0903,생활체육관,01,2600000000,부산광역시,2671000000,기장군,체육시설팀,051-792-4790,2600000000,부산광역시,2671000000,기장군,2671025025,서부리,,,부산광역시 기장군 기장읍 차성서로109번길 24,129.208201077147,35.2436523396729,1471.0,,,www.gijangcmc.or.kr/main/main.asp,N,00,N
기장생활체육센터수영장,공공,P11,수영장,P1101,수영장,01,2600000000,부산광역시,2671000000,기장군,체육시설팀,,2600000000,부산광역시,2671000000,기장군,2671025025,서부리,,,부산광역시 기장군 기장읍 차성서로109번길 24,129.208201077147,35.2436523396729,4889.0,,,https://gijangcmc.or.kr/gjspo/main/main.asp,N,00,N
김천국민체육센터,공공,P09,체육관,P0903,생활체육관,01,4700000000,경상북도,4715000000,김천시,,,4700000000,경상북도,4715000000,김천시,4715011000,삼락동,,,경상북도 김천시 운동장길 1 (삼락동),128.0880877799,36.1449243029,1600.0,,,http://www.gimcheon.go.kr/mini/sports/,N,00,N
김천실내수영장,공공,P11,수영장,P1101,수영장,01,4700000000,경상북도,4715000000,김천시,,,4700000000,경상북도,4715000000,김천시,4715011000,삼락동,,,경상북도 김천시 운동장길 1 (삼락동),128.0880877799,36.1449243029,12579.0,2000.0,,http://www.gimcheon.go.kr/mini/sports/,N,00,N
김천실내체육관,공공,P09,체육관,P0901,구기체육관,01,4700000000,경상북도,4715000000,김천시,,,4700000000,경상북도,4715000000,김천시,4715011000,삼락동,,,경상북도 김천시 운동장길 1 (삼락동),128.0880877799,36.1449243029,15589.0,6000.0,5503.0,http://www.gimcheon.go.kr/mini/sports/,N,00,N
김포생활체육관,공공,P09,체육관,P0903,생활체육관,01,4100000000,경기도,4157000000,김포시,체육시설팀,031-996-8020,4100000000,경기도,4157000000,김포시,4157010800,마산동,,,경기도 김포시 김포한강8로 198-3 (마산동),126.644905102984,37.6403531506696,9998.0,,,http://www.gimpolifegym.or.kr,N,00,N
까치산체육센터,공공,P17,골프연습장,P1701,골프연습장,01,1100000000,서울특별시,1162000000,관악구,,,1100000000,서울특별시,1162000000,관악구,1162010100,봉천동,,,서울특별시 관악구 행운10길 23 (봉천동),126.962472088607,37.4819706150352,,,,https://www.gwanakgongdan.or.kr,N,00,N
남구 빙상장,공공,P20,빙상장,P2001,빙상장,01,2600000000,부산광역시,2629000000,남구,,,2600000000,부산광역시,2629000000,남구,2629010700,용호동,,,부산광역시 남구 백운포로 106 (용호동),129.1100779491,35.104156321,2319.0,,,http://www.namgusports.go.kr,N,00,N
남구국민체육센터 1관(실내체육관),공공,P09,체육관,P0903,생활체육관,01,2600000000,부산광역시,2629000000,남구,,,2600000000,부산광역시,2629000000,남구,2629010700,용호동,,,부산광역시 남구 백운포로 110 (용호동),129.10837342238568,35.10388319908773,884.0,,,https://www.namgusports.go.kr/,N,00,N
남구국민체육센터 1관(체력단련장),공공,P09,체육관,P0903,생활체육관,01,2600000000,부산광역시,2629000000,남구,시설관리사업소,051-607-4935,2600000000,부산광역시,2629000000,남구,2629010700,용호동,,,부산광역시 남구 백운포로 110 (용호동),129.1082023418,35.1038825708,434.0,,,http://www.namgusports.go.kr/guide/rent,N,00,N
남국국민체육센터 1관(골프연습장),공공,P17,골프연습장,P1701,골프연습장,01,2600000000,부산광역시,2629000000,남구,,,2600000000,부산광역시,2629000000,남구,2629010700,용호동,,,부산광역시 남구 백운포로 110 (용호동),129.10837342238568,35.10388319908773,426.0,,,www.namgusports.go.kr,N,00,N
남국국민체육센터 1관(수영장),공공,P11,수영장,P1101,수영장,01,2600000000,부산광역시,2629000000,남구,,,2600000000,부산광역시,2629000000,남구,2629010700,용호동,,,부산광역시 남구 백운포로 110 (용호동),129.10837342238568,35.10388319908773,1170.0,,,www.namgusports.go.kr,N,00,N
남양주시청소년수련관,공공,P09,체육관,P0903,생활체육관,01,4100000000,경기도,4136000000,남양주시,,,4100000000,경기도,4136000000,남양주시,4136010500,이패동,,,경기도 남양주시 다산지금로 51-47 (이패동),127.178118452164,37.6089365598086,9219.0,,,Http://www.ncuc.or.kr,N,00,N
남양주체육문화센터,공공,P09,체육관,P0903,생활체육관,01,4100000000,경기도,4136000000,남양주시,,,4100000000,경기도,4136000000,남양주시,4136010500,이패동,,,경기도 남양주시 다산지금로 91 (이패동),127.177790438367,37.6059265813058,4442.0,,,http://nyj.nucu.co.kr,N,00,N
